t,AAR,CAAR
0,0.0007757977670204406,0.0007757977670204406
1,-0.0017063182925561578,-0.0009305205255357172
2,-0.0005380193222983852,-0.0014685398478341024
3,0.0010561207630874752,-0.0004124190847466273
4,0.001427093350012517,0.0010146742652658897
5,-0.001663284803061159,-0.0006486105377952692
6,-0.0005366653544202006,-0.0011852758922154699
7,0.0005322729824362558,-0.0006530029097792141
8,-0.0003737182254804805,-0.0010267211352596945
9,2.943821575381064e-06,-0.0010237773136843134
10,0.00018850488289385753,-0.0008352724307904558
11,0.00019730612726597034,-0.0006379663035244855
12,-0.0011076586032505622,-0.0017456249067750477
13,0.0016553220640660481,-9.030284270899959e-05
14,-0.0018390889936845346,-0.0019293918363935342
15,0.0008712461450523464,-0.0010581456913411878
16,-0.000717971533958345,-0.0017761172252995327
17,0.0006212962125194269,-0.0011548210127801059
18,0.0009881864440805803,-0.00016663456869952555
19,0.0002735718139517215,0.00010693724525219598
20,0.0015551440120128055,0.0016620812572650016
21,-0.00010849983925854191,0.0015535814180064596
22,-0.0003578163810517141,0.0011957650369547454
23,0.0007735088482785599,0.001969273885233305
24,0.0008732687690149977,0.002842542654248303
25,-0.0005764579496340546,0.0022660847046142487
26,0.0006045966138483526,0.0028706813184626013
27,-0.00033895566716870277,0.0025317256512938984
28,-0.00044690736548464377,0.0020848182858092547
29,-0.0001772619771562834,0.0019075563086529714
30,-0.0006974014314623163,0.001210154877190655
