t,t_stat,p_value,n,mean_ar
0,0.914,0.3612,407,0.000776
1,-2.3004,0.0219,407,-0.001706
2,-0.8224,0.4113,407,-0.000538
3,1.65,0.0997,407,0.001056
4,1.9674,0.0498,407,0.001427
5,-2.7833,0.0056,407,-0.001663
6,-0.7273,0.4675,407,-0.000537
7,0.8692,0.3852,407,0.000532
8,-0.5522,0.5811,407,-0.000374
9,0.0042,0.9966,407,3e-06
10,0.2324,0.8163,407,0.000189
11,0.315,0.7529,407,0.000197
12,-1.7932,0.0737,407,-0.001108
13,2.9104,0.0038,407,0.001655
14,-3.4534,0.0006,407,-0.001839
15,1.1541,0.2491,407,0.000871
16,-1.07,0.2852,407,-0.000718
17,0.9317,0.352,407,0.000621
18,1.5888,0.1129,407,0.000988
19,0.4345,0.6642,407,0.000274
20,2.4461,0.0149,407,0.001555
21,-0.1716,0.8638,407,-0.000108
22,-0.532,0.5951,407,-0.000358
23,1.2944,0.1962,407,0.000774
24,1.6537,0.099,407,0.000873
25,-0.9598,0.3377,407,-0.000576
26,0.9617,0.3368,407,0.000605
27,-0.5324,0.5947,407,-0.000339
28,-0.7013,0.4835,407,-0.000447
29,-0.3127,0.7547,407,-0.000177
30,-0.876,0.3815,407,-0.000697
